K: 3
T P P P T E E P P R P E T P E P
P E E P P P P E E P P T P P P P
P P R P R P P P R P E P P P P R
P E R P P P P P R P P E P P P R
P P P P P P R T T P R P P E R P
P R P P P P T P R P T E P P P R
E P P T P T P P P P P P P P P P
P P P E P T P P P P P P E P P P
T P P P T R P P R P P P P T P P
P R P E E E P R T P P P R P P P
E R P P P P R P P P R T P E P E
P P T P P P R T T P P E P P P E
P P P P P P P P T P P E P P P P
R E R P P P P P R T E P P P P P
E E P P E E P R P P P P P P T P
E P R P P P T P P P P P P T P P
