K: 8
R T T T T R T T T P T E T R T E
T E E T T T T T P T P R E T T T
T T T P P T R T R T T T T P E T
P T P T T T P T T T T T T T R E
T T T T T T T T T T T T T T T T
T T T T T R P T T P T T E T P T
T T R T T E T T T T T T T E T T
T T T T T P E T T T T T P T T T
E T T T T T T T T T E T T T T T
T R P T T E E T T T R T T R R T
T T P T T T R T P T T T T T T T
E T E T E T T R T T T T T T T T
T T T R T T E P T R T T T E R T
P R E T T T R E T T T T T T T T
T T T E T T T T E T E T T T T T
T T T T T T E E T R T E T T T T
