K: 1
E P T E T T E T R T R T R P T E P
R T T T R P T E T P T T T T T T T
T P P P T T T T T T P T T R T T T
T T T T T T T T T E T R T T P E P
R E T T P P T T T P R T T R R T T
T E R E T T T P T T P T T E P T T
T T T T T T T T T T T T T T T T T
R T T T T E P T E T T T T T T T T
T T T T P T T E E T T T T R T T T
T E P T T R T T T T T T P P T R T
T T T T P T T T T E T T R T P T T
T T T E T T T T T T T T R P R T T
R T T T E P T T T T P P T T T T T
T T T T P R T E T T T R T T T T R
T T T T T T T T E T E T T T T T T
R T R T T T T T R T T T T P T T T
T T E P T T T T E T T P T E E E E
