K: 8
E R T R T T T T T T T T E T P T R
T T P T E T T E P T T T P T T P T
E P T R T T E R T P T T T T T E P
T E T P T E R T T E R T T T R T T
T T T T T T E T T T T T T T T R T
T T T T T T T T T P T T R T E T T
E P T T T R T T T T T T T R T R T
T T E E T T T E E P T E T E T T T
T T T T T T T T E T T T T T T T E
T T T P R T R P T T P T P R T E T
R T P E T T T T T E T T T E R P T
T T T T T T T T E T T E P P T T T
T T T T T E T T R P R T T T T E P
T T P T T E T T T T T R T T T T T
T T T P T R R T T E P T T T T T P
T E T T T T T T T T E T T T T T T
T T E T T T T E T E R T T T R E E
