biased,dimension,g_exe_time,b_exe_time,g_caught,b_caught
balanced,5,1.293749999997651e-05,1757348497.853632,2.5,2.5
balanced,6,1.5604000000002394e-05,1757348497.853635,4.0,4.0
balanced,7,1.9292000000059595e-05,1757348497.853641,6.0,6.0
balanced,8,2.5396000000066365e-05,1757348497.8536527,12.0,12.5
balanced,9,3.577100000007327e-05,1757348497.853664,13.5,13.5
balanced,10,4.1062500000021984e-05,1757348497.8536744,19.5,20.0
balanced,11,4.2875500000039146e-05,1757348497.8536773,20.5,21.5
balanced,12,5.545799999995271e-05,1757348497.853692,24.5,25.0
balanced,13,8.21874999999972e-05,1757348497.8537688,30.0,31.0
balanced,14,7.266649999992936e-05,1757348497.8537393,31.5,32.0
balanced,15,6.964600000003429e-05,1757348497.853716,34.5,35.5
balanced,16,0.00022631249999993663,1757348497.8538814,43.0,45.0
balanced,17,0.00010502099999987191,1757348497.8537784,59.5,62.0
balanced,18,0.00010841699999997179,1757348497.8537793,59.5,60.5
balanced,19,0.000148000000000037,1757348497.853808,68.5,71.0
balanced,20,0.00012570850000004352,1757348497.853852,72.0,74.5
