biased,dimension,g_exe_time,b_exe_time,g_caught,b_caught
police,5,1.2354000000103227e-05,1757348497.8536308,1.5,1.5
police,6,1.1207999999984786e-05,1757348497.853631,2.0,2.0
police,7,1.6000000000016e-05,1757348497.8536391,5.5,5.5
police,8,2.0165999999988138e-05,1757348497.8536444,7.0,7.0
police,9,2.3229000000069e-05,1757348497.8536482,7.5,7.5
police,10,2.849999999998687e-05,1757348497.8536582,8.0,8.0
police,11,3.366649999991811e-05,1757348497.8536673,14.0,14.0
police,12,3.756250000008787e-05,1757348497.853672,14.5,14.5
police,13,5.1291999999980575e-05,1757348497.8536866,17.0,17.0
police,14,5.1791500000009094e-05,1757348497.8536932,20.5,20.5
police,15,6.14999999999366e-05,1757348497.8537104,25.5,25.5
police,16,6.3229000000109e-05,1757348497.8537335,21.0,21.0
police,17,7.325000000002468e-05,1757348497.8538218,26.0,26.0
police,18,8.2937499999991e-05,1757348497.853753,38.0,38.0
police,19,8.922899999996847e-05,1757348497.8537664,41.0,41.5
police,20,0.0001249380000001299,1757348497.8538709,40.5,41.0
