biased,dimension,g_exe_time,b_exe_time,g_caught,b_caught
rookie,5,1.283350000003125e-05,1757348497.853632,2.5,2.5
rookie,6,1.3208499999972645e-05,1757348497.853632,1.5,1.5
rookie,7,1.652100000004708e-05,1757348497.8536372,3.0,3.5
rookie,8,2.031249999989715e-05,1757348497.8536406,4.0,4.0
rookie,9,2.902100000001795e-05,1757348497.8537173,4.5,5.5
rookie,10,3.368800000003169e-05,1757348497.8536608,8.5,11.0
rookie,11,3.3062500000125006e-05,1757348497.853659,7.5,9.5
rookie,12,4.466650000001238e-05,1757348497.853674,12.0,15.5
rookie,13,5.406250000006274e-05,1757348497.8537729,13.0,16.5
rookie,14,5.3062500000033985e-05,1757348497.8536873,14.0,18.5
rookie,15,6.168750000001832e-05,1757348497.8536947,16.5,20.0
rookie,16,6.839549999992922e-05,1757348497.8537118,22.0,28.0
rookie,17,8.831199999992378e-05,1757348497.8537464,27.0,33.0
rookie,18,8.429149999999996e-05,1757348497.8537364,27.5,37.0
rookie,19,9.835450000006407e-05,1757348497.8537505,28.5,37.5
rookie,20,0.00010485350000000171,1757348497.853753,30.5,37.0
