Bias,Size,g_runtime,b_runtime,g_caught,b_caught
police,5,1.0609626770019531e-05,1.2516975402832031e-05,1.0,1.0
police,6,8.940696716308594e-06,1.3470649719238281e-05,2.0,2.0
police,7,1.2993812561035156e-05,1.990795135498047e-05,4.5,4.5
police,8,1.7881393432617188e-05,2.9087066650390625e-05,8.0,8.0
police,9,2.1457672119140625e-05,3.24249267578125e-05,8.0,8.0
police,10,2.586841583251953e-05,4.7087669372558594e-05,14.0,14.0
police,11,2.6464462280273438e-05,4.0531158447265625e-05,8.0,8.0
police,12,3.552436828613281e-05,6.282329559326172e-05,17.5,18.0
police,13,4.2557716369628906e-05,7.545948028564453e-05,23.5,23.5
police,14,4.0411949157714844e-05,6.854534149169922e-05,17.0,17.5
police,15,4.935264587402344e-05,8.356571197509766e-05,22.5,22.5
police,16,5.602836608886719e-05,9.500980377197266e-05,24.5,24.5
police,17,6.270408630371094e-05,0.00010466575622558594,27.5,27.5
police,18,7.092952728271484e-05,0.00012433528900146484,32.5,32.5
police,19,7.510185241699219e-05,0.00013148784637451172,36.0,36.0
police,20,8.058547973632812e-05,0.0001418590545654297,35.0,35.0
thief,5,1.8358230590820312e-05,2.193450927734375e-05,3.5,3.5
thief,6,2.5153160095214844e-05,2.9087066650390625e-05,5.0,5.0
thief,7,2.9206275939941406e-05,3.5881996154785156e-05,7.0,7.0
thief,8,4.2438507080078125e-05,5.0067901611328125e-05,6.5,6.5
thief,9,5.257129669189453e-05,6.103515625e-05,6.0,6.0
thief,10,6.508827209472656e-05,7.808208465576172e-05,10.0,10.0
thief,11,7.796287536621094e-05,8.952617645263672e-05,13.0,13.0
thief,12,9.036064147949219e-05,0.00010645389556884766,17.5,17.5
thief,13,0.00010251998901367188,0.00011897087097167969,19.5,19.5
thief,14,0.00012099742889404297,0.00014162063598632812,21.5,21.5
thief,15,0.00014388561248779297,0.0001665353775024414,28.0,28.0
thief,16,0.00016891956329345703,0.0001850128173828125,21.0,21.0
thief,17,0.00017786026000976562,0.00019824504852294922,21.0,21.0
thief,18,0.0002053976058959961,0.00023448467254638672,28.5,29.0
thief,19,0.00023734569549560547,0.0002657175064086914,36.0,36.0
thief,20,0.0002561807632446289,0.0002949237823486328,42.0,42.5
random,5,1.1563301086425781e-05,1.3470649719238281e-05,1.0,1.0
random,6,1.2516975402832031e-05,1.6450881958007812e-05,4.0,4.0
random,7,2.300739288330078e-05,2.9921531677246094e-05,7.5,7.5
random,8,2.586841583251953e-05,3.516674041748047e-05,9.5,9.5
random,9,3.0994415283203125e-05,4.00543212890625e-05,9.5,9.5
random,10,3.612041473388672e-05,5.042552947998047e-05,14.5,15.0
random,11,4.029273986816406e-05,6.091594696044922e-05,20.5,21.5
random,12,4.589557647705078e-05,7.18832015991211e-05,25.5,27.5
random,13,5.793571472167969e-05,8.368492126464844e-05,29.0,29.5
random,14,7.259845733642578e-05,0.00010502338409423828,37.5,38.0
random,15,7.045269012451172e-05,0.00010693073272705078,37.5,38.5
random,16,7.891654968261719e-05,0.00012290477752685547,50.5,51.0
random,17,8.666515350341797e-05,0.00013840198516845703,52.5,54.0
random,18,9.012222290039062e-05,0.00014841556549072266,63.0,66.0
random,19,0.00010955333709716797,0.0001703500747680664,62.5,65.0
random,20,0.0001195669174194336,0.00018608570098876953,71.0,73.0
rookie,5,1.2636184692382812e-05,1.3470649719238281e-05,1.5,1.5
rookie,6,1.049041748046875e-05,1.239776611328125e-05,0.5,0.5
rookie,7,1.811981201171875e-05,2.3126602172851562e-05,2.5,3.0
rookie,8,2.0503997802734375e-05,2.491474151611328e-05,4.0,4.5
rookie,9,2.2292137145996094e-05,2.968311309814453e-05,5.5,6.5
rookie,10,2.753734588623047e-05,3.6597251892089844e-05,6.0,7.5
rookie,11,3.0875205993652344e-05,4.38690185546875e-05,6.0,8.0
rookie,12,4.208087921142578e-05,5.257129669189453e-05,11.0,14.0
rookie,13,4.088878631591797e-05,5.805492401123047e-05,11.5,15.5
rookie,14,5.352497100830078e-05,7.18832015991211e-05,13.5,17.5
rookie,15,5.793571472167969e-05,7.832050323486328e-05,14.5,19.5
rookie,16,6.401538848876953e-05,8.487701416015625e-05,18.0,23.0
rookie,17,7.700920104980469e-05,0.00012242794036865234,25.0,34.0
rookie,18,8.0108642578125e-05,0.00011348724365234375,27.0,33.5
rookie,19,8.845329284667969e-05,0.0001220703125,31.5,38.0
rookie,20,9.417533874511719e-05,0.00013494491577148438,30.0,40.0
