Bias,Size,g_runtime,b_runtime,g_caught,b_caught
police,5,1.2040138244628906e-05,1.5974044799804688e-05,1.0,1.0
police,6,1.2159347534179688e-05,1.8358230590820312e-05,5.0,5.0
police,7,1.2636184692382812e-05,1.8358230590820312e-05,3.5,3.5
police,8,1.6570091247558594e-05,2.849102020263672e-05,8.5,8.5
police,9,2.002716064453125e-05,3.2067298889160156e-05,8.5,8.5
police,10,2.3484230041503906e-05,3.731250762939453e-05,8.5,8.5
police,11,2.7418136596679688e-05,4.291534423828125e-05,10.5,10.5
police,12,3.5881996154785156e-05,6.175041198730469e-05,20.0,20.0
police,13,3.993511199951172e-05,6.902217864990234e-05,20.0,20.0
police,14,4.7087669372558594e-05,8.249282836914062e-05,23.5,23.5
police,15,4.8041343688964844e-05,8.189678192138672e-05,20.0,20.0
police,16,5.7578086853027344e-05,0.0001024007797241211,30.5,30.5
police,17,6.496906280517578e-05,0.00011336803436279297,28.5,28.5
police,18,7.092952728271484e-05,0.00013184547424316406,37.5,37.5
police,19,7.30752944946289e-05,0.00012946128845214844,30.5,30.5
police,20,8.0108642578125e-05,0.00014913082122802734,34.0,34.0
