Bias,Size,g_runtime,b_runtime,g_caught,b_caught
random,5,1.2040138244628906e-05,1.4901161193847656e-05,1.0,1.0
random,6,1.5139579772949219e-05,2.1457672119140625e-05,6.5,6.5
random,7,1.704692840576172e-05,2.205371856689453e-05,4.5,4.5
random,8,2.2530555725097656e-05,3.230571746826172e-05,9.5,9.5
random,9,3.1113624572753906e-05,4.649162292480469e-05,15.0,16.0
random,10,3.1948089599609375e-05,4.863739013671875e-05,16.5,17.0
random,11,4.2557716369628906e-05,6.115436553955078e-05,20.0,20.0
random,12,4.7087669372558594e-05,7.104873657226562e-05,23.5,23.5
random,13,7.700920104980469e-05,8.797645568847656e-05,25.5,26.5
random,14,7.30752944946289e-05,0.00010752677917480469,36.5,37.5
random,15,7.152557373046875e-05,0.00011050701141357422,40.0,41.0
random,16,8.082389831542969e-05,0.00013196468353271484,53.0,53.0
random,17,8.90493392944336e-05,0.00013709068298339844,48.0,49.5
random,18,9.59634780883789e-05,0.00016200542449951172,63.0,65.0
random,19,0.00013506412506103516,0.0001780986785888672,60.5,62.5
random,20,0.00012254714965820312,0.0002067089080810547,83.0,84.0
