Bias,Size,g_runtime,b_runtime,g_caught,b_caught
rookie,5,1.2636184692382812e-05,1.3470649719238281e-05,1.5,1.5
rookie,6,1.049041748046875e-05,1.239776611328125e-05,0.5,0.5
rookie,7,1.811981201171875e-05,2.3126602172851562e-05,2.5,3.0
rookie,8,2.0503997802734375e-05,2.491474151611328e-05,4.0,4.5
rookie,9,2.2292137145996094e-05,2.968311309814453e-05,5.5,6.5
rookie,10,2.753734588623047e-05,3.6597251892089844e-05,6.0,7.5
rookie,11,3.0875205993652344e-05,4.38690185546875e-05,6.0,8.0
rookie,12,4.208087921142578e-05,5.257129669189453e-05,11.0,14.0
rookie,13,4.088878631591797e-05,5.805492401123047e-05,11.5,15.5
rookie,14,5.352497100830078e-05,7.18832015991211e-05,13.5,17.5
rookie,15,5.793571472167969e-05,7.832050323486328e-05,14.5,19.5
rookie,16,6.401538848876953e-05,8.487701416015625e-05,18.0,23.0
rookie,17,7.700920104980469e-05,0.00012242794036865234,25.0,34.0
rookie,18,8.0108642578125e-05,0.00011348724365234375,27.0,33.5
rookie,19,8.845329284667969e-05,0.0001220703125,31.5,38.0
rookie,20,9.417533874511719e-05,0.00013494491577148438,30.0,40.0
