Bias,Size,g_runtime,b_runtime,g_caught,b_caught
thief,5,1.8835067749023438e-05,2.1576881408691406e-05,1.5,1.5
thief,6,2.7179718017578125e-05,3.0994415283203125e-05,1.0,1.0
thief,7,3.0040740966796875e-05,3.5643577575683594e-05,6.5,6.5
thief,8,4.398822784423828e-05,5.1140785217285156e-05,6.5,6.5
thief,9,5.340576171875e-05,6.031990051269531e-05,8.0,8.0
thief,10,6.747245788574219e-05,7.56978988647461e-05,8.0,8.0
thief,11,7.402896881103516e-05,9.000301361083984e-05,16.0,16.0
thief,12,8.90493392944336e-05,0.00010716915130615234,17.0,17.0
thief,13,0.000110626220703125,0.00015342235565185547,18.0,18.0
thief,14,0.00012755393981933594,0.00015103816986083984,22.0,22.0
thief,15,0.00014102458953857422,0.00016295909881591797,25.5,26.0
thief,16,0.000152587890625,0.000179290771484375,29.0,29.0
thief,17,0.00019550323486328125,0.00021648406982421875,28.5,28.5
thief,18,0.00020396709442138672,0.00023245811462402344,28.5,28.5
thief,19,0.00022292137145996094,0.0002498626708984375,33.5,33.5
thief,20,0.0002435445785522461,0.0002764463424682617,38.0,38.5
