n,G,time_s,memory_kb
1,1,1.5957999998761352e-05,1.490234375
2,1,1.4709000005552753e-05,0.46484375
2,2,0.0001115000000027,3.5
4,1,1.3416999998128176e-05,0.5625
4,2,0.0001225829999995,1.7734375
4,3,0.0001281669999997,1.6875
4,4,0.0001211670000031,1.4609375
8,1,1.462499999860256e-05,0.7578125
8,2,0.0003705000000024,5.4296875
8,3,0.0002405409999965,3.7421875
8,4,0.0002975420000055,3.1796875
8,5,0.0002370420000019,2.6171875
8,6,0.0002584999999939,2.6171875
8,7,0.000329458000003,2.0546875
8,8,0.0003001249999954,2.109375
16,1,1.8834000002243556e-05,1.2666015625
16,2,0.0046800840000003,32.5078125
16,3,0.0044012499999936,21.453125
16,4,0.0025561250000052,13.78125
16,5,0.0007501669999996,8.1328125
16,6,0.0008164999999991,6.5390625
16,7,0.0006122919999995,5.4765625
16,8,0.000612457999999,5.4765625
16,9,0.0006550840000016,5.4765625
16,10,0.0006370000000046,4.4140625
32,1,3.1249999999261036e-05,2.2509765625
32,2,0.0387747910000015,105.59375
32,3,0.0149129999999999,71.375
32,4,0.0130246670000033,53.8359375
32,5,0.014225666999998,40.5859375
32,6,0.0128260410000038,35.4140625
32,7,0.0109385000000017,30.2421875
32,8,0.0121246250000055,26.2109375
32,9,0.0031992080000051,15.0078125
32,10,0.0032115409999988,11.9140625
64,1,4.708300000544341e-05,4.2431640625
64,2,0.3162292920000027,440.57421875
64,3,0.2151076250000017,304.36328125
64,4,0.1401694589999991,235.19140625
64,5,0.0871453750000057,182.30078125
64,6,0.0615738340000007,139.625
64,7,0.0545102920000033,121.2109375
64,8,0.0537545840000035,104.96875
64,9,0.0543657920000058,105.1923828125
64,10,0.050961167000004,91.4658203125
128,1,8.333299999918609e-05,8.2373046875
128,2,1.580630792000001,1815.30078125
128,3,1.2756425000000036,1121.64453125
128,4,0.9846574999999972,879.67578125
128,5,0.8397255000000001,690.26953125
128,6,0.7260552080000053,609.61328125
128,7,0.5588597910000033,472.61328125
128,8,0.4898222500000031,416.14453125
128,9,0.4113499580000024,416.17578125
128,10,0.3490816250000037,367.89453125
256,1,0.000162374999995,16.4560546875
256,2,7.619780374999998,7373.95703125
256,3,6.330858750000004,4586.52734375
256,4,5.139657375000013,3614.43359375
256,5,4.777421541999999,2843.33984375
256,6,4.423320125000004,2232.83984375
256,7,3.7571292909999983,1975.87109375
256,8,3.5142475420000068,1750.96484375
256,9,3.3072271250000114,1550.15234375
256,10,3.123561417000005,1373.52734375
512,1,0.0004109999999997,32.7021484375
512,2,41.91091191699999,26627.12890625
512,3,36.20000829099999,18674.21875
512,4,29.752701875000017,13078.75
512,5,28.18865975,11619.6015625
512,6,28.038333250000026,9166.6875
512,7,23.66176195900005,8140.50390625
512,8,22.992905334,7226.7265625
512,9,22.07051716699999,6409.0078125
512,10,21.326290500000027,5687.63671875
1024,1,0.0008272499999861,65.7822265625
1024,2,228.067060041,108085.75
1024,3,196.234090833,75827.59765625
1024,4,162.99150195799996,53212.34375
1024,5,153.58101166599988,42000.7578125
1024,6,149.1220907080001,37323.7265625
1024,7,132.47897775,33162.328125
1024,8,144.6186432080001,29443.93359375
1024,9,136.701208125,26144.52734375
1024,10,144.75192779200006,23229.5859375
