n,G,time_s,memory_kb
1,1,1.858400000109839e-05,0.8564453125
2,1,1.2583999998483364e-05,0.484375
2,2,0.00011004199999931075,2.1484375
4,1,1.3541999999588938e-05,0.583984375
4,2,0.0001454580000004313,2.0859375
4,3,0.0001535839999995403,1.7734375
4,4,0.00016925000000078683,1.4609375
8,1,1.5832999999076947e-05,0.783203125
8,2,0.00032683299999902715,5.4296875
8,3,0.00026970800000114536,3.796875
8,4,0.00030029100000028563,3.234375
8,5,0.0002785000000002924,2.671875
8,6,0.00029066599999971743,2.671875
8,7,0.00033891700000054925,2.109375
8,8,0.0003334999999999866,2.109375
16,1,2.270799999948281e-05,1.2978515625
16,2,0.003718333000000129,24.6015625
16,3,0.003434583000000657,16.140625
16,4,0.0009955839999999938,6.5390625
16,5,0.0009184170000011704,5.4765625
16,6,0.0009190829999994321,5.4765625
16,7,0.0008401669999997807,4.4140625
16,8,0.0008185830000009275,4.421875
16,9,0.0008866249999996967,4.4140625
16,10,0.0008705409999993918,3.46875
32,1,3.341699999914738e-05,2.3134765625
32,2,0.038029209000001174,120.09765625
32,3,0.016485375000000246,71.4609375
32,4,0.013523583000001338,53.8359375
32,5,0.013487709000001402,46.6875
32,6,0.01328508400000139,40.53125
32,7,0.012895625000000521,35.3125
32,8,0.01172866699999986,25.9296875
32,9,0.0026204999999990264,15.03125
32,10,0.002908707999999649,15.03125
64,1,7.929200000056369e-05,4.3681640625
64,2,0.3380093750000004,497.44921875
64,3,0.24637158300000017,304.33203125
64,4,0.16420487499999936,235.22265625
64,5,0.12197662500000028,182.35546875
64,6,0.0745946669999995,159.9375
64,7,0.058661709000000783,139.4921875
64,8,0.05887404199999935,121.25
64,9,0.06027154100000054,105.0751953125
64,10,0.05921708300000006,105.6298828125
128,1,0.00010216699999965329,8.4873046875
128,2,1.8928070829999992,1815.30078125
128,3,1.3698725000000014,1266.86328125
128,4,1.065781832999999,879.70703125
128,5,1.2008505840000012,690.26953125
128,6,0.8303992499999993,609.67578125
128,7,0.6357066660000008,537.11328125
128,8,0.5393287500000028,472.61328125
128,9,0.4474233339999998,416.20703125
128,10,0.37639929199999855,367.89453125
