n,G,time_s,memory_kb
1,1,4.4625000000131365e-05,1.498046875
2,1,2.5041000000225463e-05,0.5244140625
2,2,0.0001125000000001,9.2236328125
4,1,2.4666999999922723e-05,0.5693359375
4,2,0.000162334,3.390625
4,3,9.729199999997108e-05,4.6484375
8,1,2.5749999999824524e-05,0.6123046875
8,2,0.0004042500000003,10.4140625
8,3,0.0002447499999997,7.3828125
16,1,2.9959000000356895e-05,0.7578125
16,2,0.001886625,32.1640625
16,3,0.000896666,20.75
32,1,8.020799999997053e-05,1.0078125
32,2,0.0080669170000002,105.515625
32,3,0.0023643339999996,70.4375
64,1,5.725000000023073e-05,1.537109375
64,2,0.0775687500000001,441.046875
64,3,0.026489084,302.671875
128,1,8.495799999996834e-05,2.59375
128,2,0.248828375,1812.8984375
128,3,0.1259025,1114.8828125
