n,G,time_s,memory_kb
1,1,3.245800000006849e-05,1.498046875
2,1,2.4584000000049677e-05,0.5244140625
2,2,0.000122167,9.2470703125
4,1,2.4459000000032205e-05,0.5693359375
4,2,0.0001419579999999,2.453125
4,3,8.84170000000628e-05,4.65625
8,1,2.5916999999986423e-05,0.6123046875
8,2,0.0003881249999999,9.953125
8,3,0.0002154159999999,7.3828125
16,1,2.88339999999776e-05,0.7578125
16,2,0.0007568749999999,24.1015625
16,3,0.000462791,15.4375
32,1,3.445800000001498e-05,1.0078125
32,2,0.0062670839999999,105.640625
32,3,0.001671792,70.4609375
64,1,4.8542000000040275e-05,1.537109375
64,2,0.039426041,390.6640625
64,3,0.0177792909999999,266.109375
128,1,7.833300000004151e-05,2.59375
128,2,0.2078572089999999,1812.9296875
128,3,0.1113459169999999,1260.1328125
256,1,0.0002051669999998,4.84375
256,2,0.8131805409999999,6544.6484375
256,3,0.4195525839999998,4577.7578125
512,1,0.0002822090000003,16.345703125
512,2,4.799255292,26623.23828125
512,3,2.3720248340000003,18654.56640625
1024,1,0.0005854169999999,39.39453125
1024,2,22.202868833,108077.11328125
1024,3,11.659572207999997,75785.31640625
