n,G,time_s,memory_kb
1,1,1.991700000000124e-05,0.7236328125
1,2,8.033300000000188e-05,1.095703125
1,3,5.554200000000564e-05,1.0068359375
2,1,1.0166999999998427e-05,0.7470703125
2,2,9.545799999999965e-05,1.970703125
2,3,7.195799999999697e-05,1.8193359375
4,1,9.500000000002562e-06,0.7470703125
4,2,0.00041662499999999686,3.115234375
4,3,0.00023233300000000123,2.1005859375
8,1,1.2207999999999664e-05,0.7470703125
8,2,0.00037462500000000343,8.748046875
8,3,0.00021900000000000391,6.2568359375
16,1,1.0166999999998427e-05,0.7763671875
16,2,0.0010237089999999976,32.279296875
16,3,0.0012405419999999973,20.7490234375
32,1,3.249999999999781e-05,0.7763671875
32,2,0.010881042,119.5478515625
32,3,0.002548250000000002,80.8037109375
64,1,1.3917000000002178e-05,1.0107421875
64,2,0.14736725,439.89453125
64,3,0.046029083,302.7021484375
128,1,4.766600000000176e-05,1.5107421875
128,2,0.527918667,1813.2939453125
128,3,0.15844379200000003,1115.2255859375
256,1,1.966700000000099e-05,2.5107421875
256,2,0.899543917,7372.654296875
256,3,0.4817325419999998,4577.9443359375
512,1,7.837500000018593e-05,11.5380859375
512,2,6.959142042,26624.689453125
512,3,2.3686313749999997,18655.0341796875
