n,G,time_s,memory_kb
1,1,2.5084000000008544e-05,1.130859375
2,1,1.5499999999946112e-05,0.46484375
2,2,0.0001079589999999,5.28125
4,1,1.5290999999972854e-05,0.5859375
4,2,0.0001521669999999,2.421875
4,3,0.000140583,1.796875
4,4,0.0001526249999999,1.796875
8,1,1.566600000002527e-05,0.78125
8,2,0.000356708,5.453125
8,3,0.0003044169999999,3.765625
8,4,0.0002698749999999,3.203125
8,5,0.0002955,2.640625
8,6,0.0007702079999999,2.640625
8,7,0.0003666249999999,2.0859375
8,8,0.0003280829999999,2.125
16,1,2.3749999999989058e-05,1.2900390625
16,2,0.005287625,24.6171875
16,3,0.004295,18.7890625
16,4,0.002808417,11.6484375
16,5,0.000957541,6.5625
16,6,0.000663583,5.5
16,7,0.0008953329999999,5.5
16,8,0.0008029169999999,4.4375
16,9,0.0006623329999999,4.4375
16,10,0.0005967089999999,4.4375
32,1,3.383300000003864e-05,2.2744140625
32,2,0.0605815419999999,136.5546875
32,3,0.029996667,81.8515625
32,4,0.0227646249999999,62.1328125
32,5,0.019302708,53.9921875
32,6,0.0203954159999999,40.6484375
32,7,0.0176851249999999,35.2265625
32,8,0.004340666,18.125
32,9,0.0033664589999999,15.03125
32,10,0.0032984999999999,15.03125
64,1,5.883300000009139e-05,4.2431640625
64,2,0.4748289590000001,497.41796875
64,3,0.2350801249999998,344.90234375
64,4,0.1735563329999998,235.22265625
64,5,0.129299542,206.69921875
64,6,0.0794750000000001,159.9375
64,7,0.0592707919999999,139.5
64,8,0.0593479590000001,121.2265625
64,9,0.0520418339999999,105.2158203125
64,10,0.0527197090000002,105.0625
128,1,9.6000000000096e-05,8.2373046875
128,2,1.7995524580000004,1815.23828125
128,3,1.394620583,1267.3603515625
128,4,1.0790183329999996,879.67578125
128,5,0.9238764160000006,690.20703125
128,6,0.7978988339999997,609.61328125
128,7,0.6688025419999999,537.11328125
128,8,0.5331359999999989,472.67578125
128,9,0.4630075000000015,416.23828125
128,10,0.3897726250000008,367.92578125
256,1,0.0001685830000006,16.4560546875
256,2,7.863056167000002,6546.95703125
256,3,6.325240790999999,4586.55859375
256,4,5.232234124999998,3614.52734375
256,5,4.833786250000003,2843.43359375
256,6,4.435635750000003,2232.96484375
256,7,4.094273209000001,1975.83984375
256,8,3.6157235000000014,1751.02734375
256,9,3.3083492080000028,1550.21484375
256,10,3.170353417000001,1373.55859375
512,1,0.0003906249999943,32.7021484375
512,2,41.92490500000001,26627.09765625
512,3,35.428801582999995,18674.5625
512,4,30.551381375000005,13078.91015625
512,5,27.97549991599999,10321.0703125
512,6,26.358591916999984,9166.6015625
512,7,24.860113083000016,8140.60546875
512,8,22.40304095799999,7226.75390625
512,9,21.79896537499997,6408.9765625
512,10,20.96676500000001,5687.59765625
1024,1,0.0012843330000009,65.7822265625
1024,2,223.814572291,108086.34375
1024,3,194.71932612500007,75827.71875
1024,4,168.076515084,53212.2890625
1024,5,148.86492433299998,42000.6953125
1024,6,146.14655945799996,37323.5
1024,7,126.82673225000008,29447.00390625
1024,8,125.391380584,26144.55859375
1024,9,122.38894804200004,23229.4921875
1024,10,121.354445791,20635.01953125
