n,G,time_s,memory_kb
1,1,8.158400000002342e-05,1.482421875
2,1,2.7499999999958114e-05,0.4775390625
2,2,0.000148166,9.2626953125
4,1,2.2250000000001435e-05,0.5224609375
4,2,0.000133916,2.140625
4,3,8.812499999999446e-05,4.65625
8,1,2.0625000000051852e-05,0.595703125
8,2,0.0004513329999999,11.4453125
8,3,0.0002797909999999,7.4375
16,1,2.4540999999989044e-05,0.71875
16,2,0.0012149579999999,32.625
16,3,0.0008185829999999,20.75
32,1,3.9416999999986047e-05,0.96875
32,2,0.0071291669999999,105.515625
32,3,0.0018321669999999,70.4375
64,1,5.0333999999985224e-05,1.498046875
64,2,0.045435375,441.140625
64,3,0.020240542,302.703125
128,1,7.820800000002404e-05,2.5546875
128,2,0.218147875,1813.0546875
128,3,0.109174875,1260.1640625
256,1,0.000148417,4.8046875
256,2,0.858967333,6544.5859375
256,3,0.4514123329999997,4577.7265625
512,1,0.000309375,16.306640625
512,2,4.746924916999999,26623.17578125
512,3,2.427076917,18654.53515625
1024,1,0.0006400000000006,39.35546875
1024,2,30.904964917,108077.58203125
1024,3,12.725199415999995,75785.31640625
