T,Method,N,Runtime (s),Memory (KB)
0,Conventional,2,1.6999999999989246e-05,1.09765625
0,Conventional,4,4.479099999998848e-05,1.015625
0,Conventional,8,0.000239542000000037,2.84375
0,Conventional,16,0.0016889169999999565,9.875
0,Conventional,32,0.013432749999999993,37.4375
0,Divide&Conquer,2,6.779200000001095e-05,6.0
0,Divide&Conquer,4,0.0002834999999999921,3.0234375
0,Divide&Conquer,8,0.00406387500000005,9.84765625
0,Divide&Conquer,16,0.020585416000000023,30.4794921875
0,Divide&Conquer,32,0.170911708,95.36328125
0,Strassen,2,0.00013358299999999268,3.34375
0,Strassen,4,0.0008308750000000087,8.1875
0,Strassen,8,0.005349999999999966,22.08203125
0,Strassen,16,0.03857391600000004,63.134765625
0,Strassen,32,0.2493109160000001,191.171875
0,Coppersmith–Winograd,2,0.0003530409999999984,16.54296875
0,Coppersmith–Winograd,4,0.001890999999999976,29.0078125
0,Coppersmith–Winograd,8,0.08583429200000003,300.4765625
0,Coppersmith–Winograd,16,3.825764416,4184.7109375
0,Coppersmith–Winograd,32,244.6059525,63971.7197265625
1,Conventional,2,0.0001343749999875854,0.37890625
1,Conventional,4,4.9665999995340826e-05,0.828125
1,Conventional,8,0.0002514159999975618,2.546875
1,Conventional,16,0.0017131669999912447,9.359375
1,Conventional,32,0.013553208999979915,37.4140625
1,Divide&Conquer,2,7.095800000911368e-05,1.7734375
1,Divide&Conquer,4,0.0002910000000042601,3.0
1,Divide&Conquer,8,0.003138958000022285,9.82421875
1,Divide&Conquer,16,0.01981625000001941,29.64453125
1,Divide&Conquer,32,0.16349541700000714,95.203125
1,Strassen,2,0.0001230830000054084,2.6875
1,Strassen,4,0.0006562500000200089,8.1640625
1,Strassen,8,0.0048369579999985035,22.05859375
1,Strassen,16,0.03406025000001023,61.97265625
1,Strassen,32,0.4505302090000214,191.2578125
1,Coppersmith–Winograd,2,0.000637584000003244,4.27734375
1,Coppersmith–Winograd,4,0.0019389999999930296,24.5859375
1,Coppersmith–Winograd,8,0.058358292000008305,272.0390625
1,Coppersmith–Winograd,16,3.922814125000002,4112.0859375
1,Coppersmith–Winograd,32,235.49004404100003,63984.3203125
2,Conventional,2,0.00014799999996739643,0.37890625
2,Conventional,4,4.862499997670966e-05,0.828125
2,Conventional,8,0.00045395799998004804,2.546875
2,Conventional,16,0.0018044580000378119,9.359375
2,Conventional,32,0.015454541999986304,37.4140625
2,Divide&Conquer,2,0.00013241599998536913,1.21484375
2,Divide&Conquer,4,0.00030812500000365617,2.9453125
2,Divide&Conquer,8,0.0031568750000019463,9.8515625
2,Divide&Conquer,16,0.024136375000011867,29.58984375
2,Divide&Conquer,32,0.1613161669999954,95.203125
2,Strassen,2,0.00012500000002546585,2.6875
2,Strassen,4,0.0006467080000334136,8.1640625
2,Strassen,8,0.004774625000038668,21.703125
2,Strassen,16,0.035799749999966934,61.34375
2,Strassen,32,0.2512210419999974,190.8203125
2,Coppersmith–Winograd,2,0.0003204159999654621,4.22265625
2,Coppersmith–Winograd,4,0.0018725410000115517,23.875
2,Coppersmith–Winograd,8,0.05967050000003837,269.796875
2,Coppersmith–Winograd,16,3.8227119169999924,4107.21875
2,Coppersmith–Winograd,32,246.329727708,63975.7421875
