K,sample,greedy_time,brute_time,greedy_caught,brute_caught,greedy_police,greedy_rookie,brute_police,brute_rookie
1,0,5.124999999983615e-05,1757348497.8536708,9,9,9,0,9,0
1,1,4.574999999995555e-05,1757348497.8536794,12,12,11,1,11,1
1,2,7.266599999988799e-05,1757348497.8537252,9,9,8,1,8,1
1,3,4.4457999999858444e-05,1757348497.8536668,9,9,8,1,8,1
1,4,4.3165999999983384e-05,1757348497.8536654,10,10,7,3,7,3
2,0,3.47499999999723e-05,1757348497.85366,9,10,9,0,9,1
2,1,3.48750000001008e-05,1757348497.8536685,14,14,13,1,13,1
2,2,3.824999999979539e-05,1757348497.853666,14,15,14,0,14,1
2,3,3.9124999999806676e-05,1757348497.8536658,13,13,13,0,13,0
2,4,3.375000000005457e-05,1757348497.8536582,8,8,8,0,8,0
3,0,3.841700000006831e-05,1757348497.8536668,15,15,15,0,15,0
3,1,3.445800000001498e-05,1757348497.8536637,13,13,13,0,13,0
3,2,3.87079999999429e-05,1757348497.853663,10,10,9,1,9,1
3,3,3.754200000005703e-05,1757348497.8536665,15,16,15,0,15,1
3,4,4.0333000000059016e-05,1757348497.8536675,15,15,15,0,15,0
4,0,4.020799999993052e-05,1757348497.8536706,18,18,17,1,17,1
4,1,4.2125000000003965e-05,1757348497.8536727,19,19,18,1,18,1
4,2,4.0417000000125824e-05,1757348497.8536682,14,14,14,0,14,0
4,3,3.595900000008534e-05,1757348497.8536794,11,12,11,0,11,1
4,4,4.008300000002407e-05,1757348497.8536694,14,16,13,1,13,3
5,0,3.758299999989667e-05,1757348497.853668,16,16,16,0,16,0
5,1,3.737500000000615e-05,1757348497.8536677,15,16,15,0,15,1
5,2,3.341700000003556e-05,1757348497.8536632,15,15,15,0,15,0
5,3,3.6083000000131094e-05,1757348497.8536658,16,17,14,2,14,3
5,4,3.645800000007249e-05,1757348497.8536649,14,14,14,0,14,0
6,0,3.491599999994044e-05,1757348497.8536642,16,16,16,0,16,0
6,1,3.108399999995903e-05,1757348497.8536584,12,12,12,0,12,0
6,2,3.47499999999723e-05,1757348497.8536673,21,21,21,0,21,0
6,3,3.700000000006476e-05,1757348497.853669,16,17,16,0,16,1
6,4,3.59580000000026e-05,1757348497.8536654,14,15,13,1,13,2
7,0,3.6916999999858646e-05,1757348497.8536696,18,19,18,0,18,1
7,1,3.649999999999487e-05,1757348497.853669,18,19,18,0,18,1
7,2,4.2249999999910415e-05,1757348497.8536696,11,12,11,0,11,1
7,3,3.408300000007358e-05,1757348497.8536596,11,11,11,0,11,0
7,4,3.0332999999993504e-05,1757348497.85366,14,14,14,0,14,0
