biased,dimension,g_exe_time,b_exe_time,g_caught,b_caught
police,5,1.2354000000103227e-05,1757348497.8536308,1.5,1.5
police,6,1.1207999999984786e-05,1757348497.853631,2.0,2.0
police,7,1.6000000000016e-05,1757348497.8536391,5.5,5.5
police,8,2.0165999999988138e-05,1757348497.8536444,7.0,7.0
police,9,2.3229000000069e-05,1757348497.8536482,7.5,7.5
police,10,2.849999999998687e-05,1757348497.8536582,8.0,8.0
police,11,3.366649999991811e-05,1757348497.8536673,14.0,14.0
police,12,3.756250000008787e-05,1757348497.853672,14.5,14.5
police,13,5.1291999999980575e-05,1757348497.8536866,17.0,17.0
police,14,5.1791500000009094e-05,1757348497.8536932,20.5,20.5
police,15,6.14999999999366e-05,1757348497.8537104,25.5,25.5
police,16,6.3229000000109e-05,1757348497.8537335,21.0,21.0
police,17,7.325000000002468e-05,1757348497.8538218,26.0,26.0
police,18,8.2937499999991e-05,1757348497.853753,38.0,38.0
police,19,8.922899999996847e-05,1757348497.8537664,41.0,41.5
police,20,0.0001249380000001299,1757348497.8538709,40.5,41.0
empty,5,1.104149999997528e-05,1757348497.8536294,2.0,2.0
empty,6,1.314549999997805e-05,1757348497.8536315,1.5,1.5
empty,7,1.3271000000036892e-05,1757348497.8536305,0.0,0.0
empty,8,2.020899999999326e-05,1757348497.8536386,1.5,1.5
empty,9,2.1312500000036927e-05,1757348497.8536415,3.5,3.5
empty,10,2.9895500000098885e-05,1757348497.8536458,3.0,3.0
empty,11,3.220850000007491e-05,1757348497.853654,7.0,7.0
empty,12,3.406300000008411e-05,1757348497.8536575,4.5,4.5
empty,13,4.725049999987352e-05,1757348497.853693,10.0,10.0
empty,14,4.5291499999988716e-05,1757348497.8536701,9.5,9.5
empty,15,5.05834999999788e-05,1757348497.8536792,14.0,14.0
empty,16,6.20000000000065e-05,1757348497.8536892,12.0,12.0
empty,17,8.152100000002882e-05,1757348497.8537254,17.5,17.5
empty,18,7.452100000004958e-05,1757348497.853703,16.5,16.5
empty,19,8.535399999998194e-05,1757348497.8537126,15.0,15.0
empty,20,0.000146604500000036,1757348497.8537319,23.5,24.0
rookie,5,1.283350000003125e-05,1757348497.853632,2.5,2.5
rookie,6,1.3208499999972645e-05,1757348497.853632,1.5,1.5
rookie,7,1.652100000004708e-05,1757348497.8536372,3.0,3.5
rookie,8,2.031249999989715e-05,1757348497.8536406,4.0,4.0
rookie,9,2.902100000001795e-05,1757348497.8537173,4.5,5.5
rookie,10,3.368800000003169e-05,1757348497.8536608,8.5,11.0
rookie,11,3.3062500000125006e-05,1757348497.853659,7.5,9.5
rookie,12,4.466650000001238e-05,1757348497.853674,12.0,15.5
rookie,13,5.406250000006274e-05,1757348497.8537729,13.0,16.5
rookie,14,5.3062500000033985e-05,1757348497.8536873,14.0,18.5
rookie,15,6.168750000001832e-05,1757348497.8536947,16.5,20.0
rookie,16,6.839549999992922e-05,1757348497.8537118,22.0,28.0
rookie,17,8.831199999992378e-05,1757348497.8537464,27.0,33.0
rookie,18,8.429149999999996e-05,1757348497.8537364,27.5,37.0
rookie,19,9.835450000006407e-05,1757348497.8537505,28.5,37.5
rookie,20,0.00010485350000000171,1757348497.853753,30.5,37.0
balanced,5,1.293749999997651e-05,1757348497.853632,2.5,2.5
balanced,6,1.5604000000002394e-05,1757348497.853635,4.0,4.0
balanced,7,1.9292000000059595e-05,1757348497.853641,6.0,6.0
balanced,8,2.5396000000066365e-05,1757348497.8536527,12.0,12.5
balanced,9,3.577100000007327e-05,1757348497.853664,13.5,13.5
balanced,10,4.1062500000021984e-05,1757348497.8536744,19.5,20.0
balanced,11,4.2875500000039146e-05,1757348497.8536773,20.5,21.5
balanced,12,5.545799999995271e-05,1757348497.853692,24.5,25.0
balanced,13,8.21874999999972e-05,1757348497.8537688,30.0,31.0
balanced,14,7.266649999992936e-05,1757348497.8537393,31.5,32.0
balanced,15,6.964600000003429e-05,1757348497.853716,34.5,35.5
balanced,16,0.00022631249999993663,1757348497.8538814,43.0,45.0
balanced,17,0.00010502099999987191,1757348497.8537784,59.5,62.0
balanced,18,0.00010841699999997179,1757348497.8537793,59.5,60.5
balanced,19,0.000148000000000037,1757348497.853808,68.5,71.0
balanced,20,0.00012570850000004352,1757348497.853852,72.0,74.5
