biased,dimension,g_exe_time,b_exe_time,g_caught,b_caught
empty,5,1.104149999997528e-05,1757348497.8536294,2.0,2.0
empty,6,1.314549999997805e-05,1757348497.8536315,1.5,1.5
empty,7,1.3271000000036892e-05,1757348497.8536305,0.0,0.0
empty,8,2.020899999999326e-05,1757348497.8536386,1.5,1.5
empty,9,2.1312500000036927e-05,1757348497.8536415,3.5,3.5
empty,10,2.9895500000098885e-05,1757348497.8536458,3.0,3.0
empty,11,3.220850000007491e-05,1757348497.853654,7.0,7.0
empty,12,3.406300000008411e-05,1757348497.8536575,4.5,4.5
empty,13,4.725049999987352e-05,1757348497.853693,10.0,10.0
empty,14,4.5291499999988716e-05,1757348497.8536701,9.5,9.5
empty,15,5.05834999999788e-05,1757348497.8536792,14.0,14.0
empty,16,6.20000000000065e-05,1757348497.8536892,12.0,12.0
empty,17,8.152100000002882e-05,1757348497.8537254,17.5,17.5
empty,18,7.452100000004958e-05,1757348497.853703,16.5,16.5
empty,19,8.535399999998194e-05,1757348497.8537126,15.0,15.0
empty,20,0.000146604500000036,1757348497.8537319,23.5,24.0
