Bias,Size,g_runtime,b_runtime,g_caught,b_caught
police,5,1.049041748046875e-05,1.5735626220703125e-05,3.0,3.0
police,6,1.0967254638671875e-05,1.5974044799804688e-05,4.0,4.0
police,7,1.2636184692382812e-05,2.09808349609375e-05,4.5,4.5
police,8,1.6808509826660156e-05,2.8014183044433594e-05,8.0,8.0
police,9,1.9431114196777344e-05,3.135204315185547e-05,8.0,8.0
police,10,2.300739288330078e-05,3.6716461181640625e-05,9.0,9.0
police,11,2.6464462280273438e-05,4.100799560546875e-05,10.0,10.0
police,12,3.147125244140625e-05,5.0902366638183594e-05,13.0,13.0
police,13,3.8504600524902344e-05,6.0558319091796875e-05,14.0,14.0
police,14,4.303455352783203e-05,7.2479248046875e-05,17.0,17.0
police,15,5.328655242919922e-05,8.857250213623047e-05,23.0,23.0
police,16,5.257129669189453e-05,8.797645568847656e-05,20.0,20.0
police,17,6.67572021484375e-05,0.00010406970977783203,25.0,25.0
police,18,6.854534149169922e-05,0.0001214742660522461,28.5,29.0
police,19,7.05718994140625e-05,0.00012135505676269531,30.0,30.0
police,20,7.736682891845703e-05,0.00014007091522216797,36.5,36.5
thief,5,1.7523765563964844e-05,2.1576881408691406e-05,3.5,3.5
thief,6,2.2411346435546875e-05,2.586841583251953e-05,3.0,3.0
thief,7,3.254413604736328e-05,3.707408905029297e-05,4.0,4.0
thief,8,4.1961669921875e-05,4.863739013671875e-05,5.5,5.5
thief,9,4.9591064453125e-05,5.805492401123047e-05,10.5,10.5
thief,10,5.936622619628906e-05,6.937980651855469e-05,10.0,10.0
thief,11,7.49826431274414e-05,8.404254913330078e-05,9.0,9.0
thief,12,8.738040924072266e-05,0.00010216236114501953,16.0,16.0
thief,13,0.0001043081283569336,0.00012409687042236328,22.0,22.0
thief,14,0.00012946128845214844,0.0001621246337890625,17.5,17.5
thief,15,0.00014150142669677734,0.00016486644744873047,26.5,26.5
thief,16,0.0001575946807861328,0.00018095970153808594,24.5,24.5
thief,17,0.00017714500427246094,0.00021708011627197266,30.0,30.0
thief,18,0.0001964569091796875,0.00022411346435546875,27.5,27.5
thief,19,0.0002148151397705078,0.00024890899658203125,33.0,33.0
thief,20,0.00023257732391357422,0.00026488304138183594,43.0,44.0
random,5,1.1563301086425781e-05,1.4066696166992188e-05,2.0,2.0
random,6,1.2516975402832031e-05,1.5497207641601562e-05,2.0,2.0
random,7,1.9550323486328125e-05,2.9087066650390625e-05,8.0,9.0
random,8,2.1457672119140625e-05,3.457069396972656e-05,13.5,14.0
random,9,2.5033950805664062e-05,3.540515899658203e-05,10.5,11.0
random,10,3.5881996154785156e-05,5.1856040954589844e-05,17.0,17.0
random,11,4.291534423828125e-05,6.449222564697266e-05,23.0,23.5
random,12,4.2557716369628906e-05,6.341934204101562e-05,18.5,19.5
random,13,6.0558319091796875e-05,8.797645568847656e-05,27.5,28.5
random,14,7.557868957519531e-05,0.00011599063873291016,40.5,41.5
random,15,7.092952728271484e-05,0.00010251998901367188,36.0,36.0
random,16,8.034706115722656e-05,0.00013208389282226562,48.5,50.5
random,17,8.976459503173828e-05,0.0001385211944580078,46.5,48.0
random,18,9.369850158691406e-05,0.00014448165893554688,53.5,55.0
random,19,9.5367431640625e-05,0.00016641616821289062,68.5,71.5
random,20,0.00011086463928222656,0.00019347667694091797,76.5,81.0
rookie,5,1.1444091796875e-05,1.4901161193847656e-05,2.0,2.5
rookie,6,1.1563301086425781e-05,1.5139579772949219e-05,2.5,2.5
rookie,7,1.6450881958007812e-05,1.990795135498047e-05,2.0,2.5
rookie,8,2.09808349609375e-05,2.7894973754882812e-05,5.0,6.5
rookie,9,2.300739288330078e-05,2.7894973754882812e-05,4.5,5.0
rookie,10,2.7418136596679688e-05,3.4928321838378906e-05,6.5,7.0
rookie,11,3.4928321838378906e-05,4.589557647705078e-05,9.5,11.0
rookie,12,3.8623809814453125e-05,5.4001808166503906e-05,11.0,14.0
rookie,13,4.8995018005371094e-05,6.365776062011719e-05,13.5,15.0
rookie,14,5.447864532470703e-05,7.43865966796875e-05,16.0,20.0
rookie,15,5.614757537841797e-05,7.593631744384766e-05,15.0,19.5
rookie,16,6.437301635742188e-05,8.678436279296875e-05,17.5,22.0
rookie,17,7.474422454833984e-05,0.00010061264038085938,23.0,29.0
rookie,18,7.402896881103516e-05,0.0001055002212524414,25.0,29.5
rookie,19,8.678436279296875e-05,0.0001214742660522461,29.5,38.5
rookie,20,9.751319885253906e-05,0.00013196468353271484,28.5,37.0
