K,sample,greedy_time,brute_time,greedy_caught,brute_caught,greedy_police,greedy_rookie,brute_police,brute_rookie
1,0,3.409385681152344e-05,4.410743713378906e-05,9,9,9,0,9,0
1,1,3.886222839355469e-05,4.506111145019531e-05,4,4,3,1,3,1
1,2,3.790855407714844e-05,4.506111145019531e-05,10,10,9,1,9,1
1,3,4.1961669921875e-05,5.030632019042969e-05,9,9,8,1,8,1
1,4,3.2901763916015625e-05,4.315376281738281e-05,12,12,12,0,12,0
2,0,3.4809112548828125e-05,4.8160552978515625e-05,15,15,15,0,15,0
2,1,3.814697265625e-05,5.078315734863281e-05,15,15,14,1,14,1
2,2,3.62396240234375e-05,4.9114227294921875e-05,16,16,14,2,14,2
2,3,3.504753112792969e-05,4.410743713378906e-05,9,9,9,0,9,0
2,4,3.790855407714844e-05,5.125999450683594e-05,15,15,13,2,13,2
3,0,2.9802322387695312e-05,4.673004150390625e-05,17,18,17,0,17,1
3,1,3.123283386230469e-05,4.410743713378906e-05,13,13,13,0,13,0
3,2,2.9802322387695312e-05,4.291534423828125e-05,14,14,14,0,14,0
3,3,3.504753112792969e-05,4.76837158203125e-05,17,17,17,0,17,0
3,4,3.1948089599609375e-05,4.601478576660156e-05,16,16,16,0,16,0
4,0,3.0040740966796875e-05,4.7206878662109375e-05,18,19,18,0,18,1
4,1,3.075599670410156e-05,4.291534423828125e-05,10,10,10,0,10,0
4,2,3.719329833984375e-05,5.316734313964844e-05,17,18,17,0,17,1
4,3,3.1948089599609375e-05,4.315376281738281e-05,14,14,14,0,14,0
4,4,2.9802322387695312e-05,4.1961669921875e-05,13,13,13,0,13,0
5,0,3.409385681152344e-05,5.626678466796875e-05,22,24,22,0,22,2
5,1,3.719329833984375e-05,5.0067901611328125e-05,18,18,18,0,18,0
5,2,3.2901763916015625e-05,4.673004150390625e-05,17,17,17,0,17,0
5,3,3.314018249511719e-05,4.9114227294921875e-05,17,18,17,0,17,1
5,4,3.1948089599609375e-05,4.7206878662109375e-05,14,14,14,0,14,0
6,0,2.9802322387695312e-05,4.6253204345703125e-05,17,17,17,0,17,0
6,1,3.314018249511719e-05,5.364418029785156e-05,19,20,19,0,19,1
6,2,3.4809112548828125e-05,5.125999450683594e-05,18,18,18,0,18,0
6,3,3.5762786865234375e-05,5.412101745605469e-05,15,16,15,0,15,1
6,4,3.0279159545898438e-05,4.291534423828125e-05,13,13,12,1,12,1
7,0,5.221366882324219e-05,5.030632019042969e-05,11,12,10,1,10,2
7,1,3.2901763916015625e-05,5.3882598876953125e-05,21,22,21,0,21,1
7,2,3.1948089599609375e-05,4.887580871582031e-05,17,17,16,1,16,1
7,3,3.695487976074219e-05,5.4836273193359375e-05,20,20,19,1,19,1
7,4,3.2901763916015625e-05,5.507469177246094e-05,22,23,22,0,22,1
